gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description filename
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_794983_1	159	2075	1917	1	0.561	11	GGAG/GAGG	GENOMAD.182612.PC	1.303e-111	377	0	0	0	1	NA	NA	NA	PF09863;COG3892;TIGR01232;K01671	Myo-inositol catabolism protein IolC
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_794983_2	2072	3178	1107	-1	0.570	11	GGA/GAG/AGG	GENOMAD.161976.CP	6.74e-21	98	0	0	0	1	NA	NA	NA	PF05977;COG2223;TIGR04259;K08224	Nitrate/nitrite transporter NarK
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_794983_3	3175	3333	159	-1	0.484	11	GGA/GAG/AGG	GENOMAD.169374.CP	8.495e-09	51	0	0	0	1	NA	NA	NA	PF03597;COG3197;TIGR00847	Cytochrome oxidase maturation protein, CcoS/FixS family
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_794983_4	3333	5519	2187	-1	0.546	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_794983_5	5531	6040	510	-1	0.525	11	GGA/GAG/AGG	GENOMAD.179047.PC	4.066e-35	133	0	0	0	1	NA	NA	NA	PF05751;COG5456;K09926	Nitrogen fixation protein FixH
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_794983_6	6066	7535	1470	-1	0.526	11	GGAGG	GENOMAD.132886.CP	6.205e-42	165	0	0	0	1	NA	NA	NA	PF12801;PF11614;PF13746;TIGR02745;COG0348;K15831	cytochrome c oxidase accessory protein FixG
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_794983_7	7536	8420	885	-1	0.551	11	GGAG/GAGG	GENOMAD.148166.CP	7.67e-17	84	0	0	0	1	NA	NA	NA	PF14715;PF09086;K00406;TIGR00782;COG4654	cytochrome c oxidase, cbb3-type, subunit III
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_794983_8	8424	8585	162	-1	0.506	11	GGA/GAG/AGG	GENOMAD.182682.PC	9.696e-15	68	0	0	0	1	NA	NA	NA	PF05545;COG4736;K00407;TIGR00847	Cbb3-type cytochrome oxidase, subunit 3
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_794983_9	8594	9352	759	-1	0.523	11	AGGA	GENOMAD.162036.CP	5.309e-08	56	0	0	0	1	NA	NA	NA	PF02433;K00405;TIGR00781;COG2993	cytochrome c oxidase, cbb3-type, subunit II
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_794983_10	9362	11008	1647	-1	0.510	11	GGA/GAG/AGG	GENOMAD.136783.CP	1.215e-14	80	0	0	0	1	NA	NA	NA	COG0843;K02274	Heme/copper-type cytochrome/quinol oxidase, subunit 1
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_794983_11	11146	11937	792	-1	0.494	11	GGA/GAG/AGG	GENOMAD.132491.CP	3.326e-42	158	0	0	0	1	NA	NA	NA	PF15977;PF00027;K15861;TIGR03697;COG0664	global nitrogen regulator NtcA, cyanobacterial
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_794983_12	12269	13057	789	1	0.490	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_794983_13	13067	14116	1050	1	0.528	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_794983_14	14221	15663	1443	1	0.520	11	GGAGG	GENOMAD.132855.CP	9.968e-275	842	0	0	0	1	NA	NA	NA	PF01547;TIGR03850;COG2182;K10227	carbohydrate ABC transporter substrate-binding protein, CPR_0540 family
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_794983_15	15732	16652	921	1	0.469	11	GGA/GAG/AGG	GENOMAD.125776.CP	3.931e-07	54	0	0	0	1	NA	NA	NA	PF00528;K02054;TIGR01253;COG1175	thiamine ABC transporter, permease protein
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_794983_16	16649	17491	843	1	0.470	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_794983_17	17503	18597	1095	1	0.506	11	GGA/GAG/AGG	GENOMAD.126777.CP	2.068e-16	84	0	0	0	2561	Caudoviricetes	NA	NA	PF17912;PF03459;COG3585;TIGR00638	MalK OB fold domain; TOBE domain
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_794983_18	18631	18876	246	1	0.500	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_803047_1	3	593	591	-1	0.587	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_803047_2	714	2207	1494	1	0.633	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_803047_3	2274	2600	327	1	0.547	11	GGAGG	GENOMAD.194103.PC	3.575e-10	58	0	0	0	1	NA	NA	NA	PF04828;COG3791	Glutathione-dependent formaldehyde-activating enzyme
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_827371_1	3	419	417	-1	0.566	11	GGA/GAG/AGG	GENOMAD.211273.PV	1.157e-07	52	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_827371_2	513	2057	1545	-1	0.584	11	GGAGG	GENOMAD.145868.CP	3.158e-105	353	0	0	0	1	NA	NA	NA	PF06253;COG5598;TIGR02369	Trimethylamine:corrinoid methyltransferase
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_827371_3	2359	2562	204	1	0.569	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_951910_1	1	507	507	-1	0.584	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_951910_2	527	2686	2160	-1	0.572	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_969926_1	3	272	270	-1	0.578	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_969926_2	293	583	291	-1	0.478	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_969926_3	583	831	249	-1	0.538	11	GGAG/GAGG	GENOMAD.154701.PC	2.752e-10	57	0	0	0	1	NA	NA	NA	PF03693;TIGR02606;COG3609	putative addiction module antidote protein, CC2985 family
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_969926_4	934	1719	786	-1	0.608	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_969926_5	1723	3792	2070	-1	0.585	11	None	GENOMAD.120770.CP	9.639e-41	165	0	0	0	2561	Caudoviricetes	NA	NA	PF13549;K22224;TIGR01016;COG1042	succinyl-CoA synthetase, beta subunit
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_969926_6	3991	4371	381	1	0.528	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_969926_7	4377	4673	297	1	0.508	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_969926_8	4677	5621	945	-1	0.603	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_969926_9	5648	6811	1164	-1	0.575	11	AGGAG/GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_969926_10	6808	7371	564	-1	0.527	11	None	GENOMAD.178868.CP	4.614e-22	96	0	0	0	1	NA	NA	NA	PF13279;COG0824;TIGR02799;K07107	Thioesterase-like superfamily
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_969926_11	7377	8312	936	-1	0.577	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_969926_12	8758	10305	1548	1	0.563	11	GGAG/GAGG	GENOMAD.145868.CP	9.855e-100	337	0	0	0	1	NA	NA	NA	PF06253;COG5598;TIGR02369	Trimethylamine:corrinoid methyltransferase
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_969926_13	10302	11231	930	-1	0.553	11	AGxAGG/AGGxGG	GENOMAD.142559.CP	3.368e-54	195	0	0	0	1	NA	NA	NA	PF06800;TIGR03340;COG5070;K03298	phosphonate utilization associated putative membrane protein
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_969926_14	11487	12449	963	1	0.572	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_969926_15	12463	12927	465	1	0.551	11	GGA/GAG/AGG	GENOMAD.178868.CP	3.722e-20	89	0	0	0	1	NA	NA	NA	PF13279;COG0824;TIGR02799;K07107	Thioesterase-like superfamily
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_969926_16	12932	14956	2025	-1	0.572	11	AGGAGG	GENOMAD.212305.CP	1.301e-16	87	0	0	0	1	NA	NA	NA	PF08530;PF02129;TIGR00976;COG2936;K06978	putative hydrolase, CocE/NonD family
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_969926_17	14966	15592	627	-1	0.558	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_1007195_1	3	155	153	-1	0.556	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_1007195_2	353	2053	1701	1	0.597	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_1007195_3	2059	2562	504	-1	0.536	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_1007195_4	2697	3098	402	1	0.562	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_1007195_5	3203	3406	204	-1	0.559	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_1007195_6	3712	3951	240	1	0.588	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_1069472_1	7	324	318	-1	0.594	11	AGGAG	GENOMAD.189456.PC	4.163e-31	118	0	0	0	1	NA	NA	NA	PF09928;COG5477	Predicted small integral membrane protein
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_1069472_2	336	1133	798	-1	0.593	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_1069472_3	1130	2026	897	-1	0.582	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_1069472_4	2029	3117	1089	-1	0.611	11	GGAGG	GENOMAD.126777.CP	4.31e-10	64	0	0	0	2561	Caudoviricetes	NA	NA	PF17912;PF03459;COG3585;TIGR00638	MalK OB fold domain; TOBE domain
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_1069472_5	3114	3605	492	-1	0.626	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_1205478_1	2	187	186	-1	0.618	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_1205478_2	289	1056	768	-1	0.598	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_1205478_3	1526	3178	1653	1	0.571	11	AGGA/GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_1205478_4	3309	3806	498	-1	0.562	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_1241830_1	1	303	303	1	0.584	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_1241830_2	314	1219	906	1	0.530	11	GGAG/GAGG	GENOMAD.125776.CP	1.829e-07	55	0	0	0	1	NA	NA	NA	PF00528;K02054;TIGR01253;COG1175	thiamine ABC transporter, permease protein
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_1241830_3	1216	2034	819	1	0.538	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_1241830_4	2063	2416	354	1	0.545	11	GGA/GAG/AGG	GENOMAD.169348.PC	1.165e-17	80	0	0	0	1	NA	NA	NA	PF05899;COG3450;TIGR04366	Predicted enzyme of the cupin superfamily
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_1241830_5	2459	3466	1008	1	0.546	11	GGAG/GAGG	GENOMAD.120657.CP	1.725e-19	93	0	0	0	2561	Caudoviricetes	NA	NA	PF00120;COG3968;TIGR03105;K01915	Glutamine synthetase type III
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_1383227_1	1	270	270	1	0.507	11	None	GENOMAD.153864.PC	2.991e-12	63	0	0	0	1	NA	NA	NA	PF01850;K19686;COG3742;TIGR00028	Uncharacterized protein, contains PIN domain
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_1383227_2	278	907	630	-1	0.589	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_1383227_3	1037	2254	1218	-1	0.588	11	GGAG/GAGG	GENOMAD.125838.CP	1.02e-118	387	0	0	0	1	NA	NA	NA	K01839;TIGR01696;COG1015	phosphopentomutase
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_1383227_4	2257	3888	1632	-1	0.563	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_1383227_5	3885	4259	375	-1	0.491	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_1383227_6	4437	4661	225	-1	0.507	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_1383227_7	4699	5850	1152	-1	0.562	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_1383227_8	5850	6971	1122	-1	0.561	11	GGA/GAG/AGG	GENOMAD.121868.CP	5.094e-06	51	0	0	0	1	NA	NA	NA	PF00528;K15581;TIGR02789;COG0601	nickel ABC transporter, permease subunit NikB
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_1383227_9	6992	7339	348	-1	0.589	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_1459458_1	71	1015	945	1	0.540	11	AGGA	GENOMAD.167368.PC	4.176e-07	54	0	0	0	1	NA	NA	NA	PF13379;K15553;TIGR01728;COG4521	NMT1-like family
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_1459458_2	1035	1820	786	1	0.573	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_1459458_3	1830	2588	759	1	0.561	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_1459458_4	2639	3631	993	-1	0.600	11	None	GENOMAD.218531.PC	5.385e-127	407	0	0	0	1	NA	NA	NA	PF05721;COG5285;TIGR04436;K00477	Ectoine hydroxylase-related dioxygenase, phytanoyl-CoA dioxygenase (PhyH) family
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_1700394_1	2	712	711	1	0.547	11	None	GENOMAD.121868.CP	0.0001486	45	0	0	0	1	NA	NA	NA	PF00528;K15581;TIGR02789;COG0601	nickel ABC transporter, permease subunit NikB
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_1700394_2	722	1555	834	1	0.561	11	AGGA	GENOMAD.147246.CP	2.064e-11	67	0	0	0	1	NA	NA	NA	PF00528;COG4239;K15582	ABC-type microcin C transport system, permease component YejE
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_1700394_3	1560	2684	1125	1	0.569	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_1774385_1	61	1857	1797	-1	0.600	11	AGxAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_1774385_2	1923	2603	681	-1	0.576	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_1959667_1	210	1121	912	1	0.601	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_1959667_2	1765	2895	1131	1	0.598	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_1959667_3	3059	3415	357	1	0.546	11	AGGAG/GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_1997312_1	2	583	582	-1	0.557	11	None	GENOMAD.145708.CP	1.081e-43	159	0	0	0	1	NA	NA	NA	PF01810;K11249;TIGR00949;COG1279	The Resistance to Homoserine/Threonine (RhtB) Family protein
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_1997312_2	580	786	207	-1	0.459	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_1997312_3	899	1183	285	-1	0.530	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_1997312_4	1180	1533	354	-1	0.514	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_1997312_5	1675	2208	534	-1	0.609	11	None	GENOMAD.090481.CP	1.597e-21	94	0	0	0	1	NA	NA	NA	PF10369;PF13710;TIGR00119;COG0440;K06862	acetolactate synthase, small subunit
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_1997312_6	2245	2919	675	-1	0.585	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_1997312_7	2916	3323	408	-1	0.510	11	AGGA	GENOMAD.159602.PC	4.013e-20	88	0	0	0	1	NA	NA	NA	PF01850;COG5611;K07064;TIGR00028	Predicted nucleic-acid-binding protein, contains PIN domain
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_1997312_8	3320	3589	270	-1	0.570	11	GGAG/GAGG	GENOMAD.212393.PC	1.151e-06	47	0	0	0	1	NA	NA	NA	PF15937;TIGR01439;COG2002;K04769	prlF antitoxin for toxin YhaV_toxin
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_1997312_9	3675	3947	273	-1	0.538	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_2011442_1	3	347	345	-1	0.525	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_2011442_2	378	1256	879	-1	0.539	11	GGAG/GAGG	GENOMAD.116612.CP	0.000996	43	0	0	0	1	NA	NA	NA	PF00528;K02063;TIGR01253;COG1178	thiamine ABC transporter, permease protein
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_2011442_3	1261	2232	972	-1	0.511	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_2011442_4	2300	3826	1527	-1	0.543	11	GGAGG	GENOMAD.177831.PC	2.241e-288	883	0	0	0	1	NA	NA	NA	PF02030;COG2182;TIGR03850;K10227	Maltose-binding periplasmic protein MalE
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_2011442_5	4238	6166	1929	1	0.599	11	GGA/GAG/AGG	GENOMAD.148233.CP	2.453e-24	112	0	0	0	1	NA	NA	NA	PF02954;K21405;COG3284;TIGR03298	Transcriptional regulator of acetoin/glycerol metabolism
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_2121969_1	1	849	849	1	0.598	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_2121969_2	846	2180	1335	1	0.599	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_2121969_3	2177	3019	843	1	0.568	11	AGGAGG	GENOMAD.142507.CP	9.492e-114	366	0	0	0	1	NA	NA	NA	PF02358;K22223;TIGR01486;COG3769	mannosyl-3-phosphoglycerate phosphatase family
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_2121969_4	3029	4099	1071	1	0.552	11	AGGA	GENOMAD.126777.CP	4.3e-17	86	0	0	0	2561	Caudoviricetes	NA	NA	PF17912;PF03459;COG3585;TIGR00638	MalK OB fold domain; TOBE domain
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_2121969_5	4127	5179	1053	1	0.588	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_2121969_6	5191	6195	1005	1	0.581	11	GGAGG	GENOMAD.147467.CP	7.043e-41	157	0	0	0	1	NA	NA	NA	PF04198;PF18010;K11531;COG2390;TIGR00721	DNA-binding transcriptional regulator LsrR, DeoR family
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_2121969_7	6350	7453	1104	1	0.581	11	GGAG/GAGG	GENOMAD.206811.PC	2.549e-51	189	0	0	0	1	NA	NA	NA	PF14486;COG2017	Galactose mutarotase or related enzyme
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_2121969_8	7450	7887	438	-1	0.598	11	None	GENOMAD.152376.CP	3.095e-07	51	0	0	0	1	NA	NA	NA	PF00294;K23147;COG2870;TIGR04382	ADP-heptose synthase, bifunctional sugar kinase/adenylyltransferase
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_2125808_1	3	503	501	-1	0.549	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_2125808_2	553	906	354	-1	0.503	11	GGAG/GAGG	GENOMAD.090960.PP	6.953e-06	46	0	0	0	1	NA	NA	NA	PF06191	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_2125808_3	1615	2934	1320	-1	0.524	11	AGxAGG/AGGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_2189522_1	28	138	111	-1	0.477	11	ATA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_2189522_2	99	239	141	-1	0.482	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_2189522_3	668	781	114	-1	0.412	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_2189522_4	848	964	117	1	0.419	11	ATA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_2189522_5	1000	2250	1251	1	0.510	11	None	GENOMAD.152550.CP	5.248e-31	130	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_2189522_6	2263	2541	279	1	0.523	11	None	GENOMAD.169469.PC	5.061e-31	117	0	0	0	1	NA	NA	NA	PF04267;K22085;COG4311;TIGR01374	Sarcosine oxidase delta subunit
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_2189522_7	2538	5507	2970	1	0.513	11	None	GENOMAD.159479.CP	8.285e-92	329	0	0	0	1	NA	NA	NA	PF13510;PF07992;K22086;TIGR01372;COG3573	sarcosine oxidase, alpha subunit family, heterotetrameric form
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_2189522_8	5500	6105	606	1	0.447	11	None	GENOMAD.179014.PC	2.149e-48	173	0	0	0	1	NA	NA	NA	PF04268;K22087;COG4583;TIGR01375	Sarcosine oxidase gamma subunit
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_2189522_9	6236	6991	756	1	0.440	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_2189522_10	7088	7729	642	1	0.467	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_2189522_11	7998	8723	726	1	0.511	11	None	GENOMAD.137340.CP	3.786e-28	116	0	0	0	1	NA	NA	NA	PF13531;K02020;TIGR01256;COG0725	molybdenum ABC transporter, periplasmic molybdate-binding protein
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_2189522_12	8733	9422	690	1	0.523	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_2189522_13	9419	10081	663	1	0.471	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_2189522_14	10091	10183	93	1	0.247	11	ATA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_2210466_1	2	1054	1053	-1	0.576	11	AGGA	GENOMAD.224544.PV	2.038e-18	90	0	0	0	1	NA	NA	NA	PF00722;K20832;COG2273	Beta-glucanase, GH16 family
91618_DAStool_bin199.fa_plasmid_genes.tsv k99_2210466_2	1520	1903	384	1	0.609	11	GGAG/GAGG	GENOMAD.148261.CP	2.655e-21	91	0	0	0	1	NA	NA	NA	PF12681;PF00903;K06996;TIGR03213;COG2514	2,3-dihydroxybiphenyl 1,2-dioxygenase
